"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7270","TC-04 - Tìm kiếm với ký tự đặc biệt","","2025-12-17","failed","2025-12-17","","Search Tests","",""
"","8019","TC-28 Kiểm tra điều hướng Instagram","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","4412","TC-20 Kiểm tra điều hướng mục ""LIBRARY""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","2259","TC-25 Kiểm tra điều hướng link ""Diploma Book""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","9007","TC-09 Kiểm tra điều hướng mục ""Weekly Calendar""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","6445","TC-10 Kiểm tra điều hướng mục ""Phonebook""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","4523","TC-35 Nhấn nút “>>” để chuyển từ trang 1 sang trang 2","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","3047","TC-38 Reload giữ nguyên trang hiện tại","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","7050","TC-26 Kiểm tra điều hướng Facebook","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","7553","TC-03 - Tìm kiếm với từ khóa không tồn tại","","2025-12-17","failed","2025-12-17","","Search Tests","",""
"","5742","TC-39 Kiểm tra danh sách ngôn ngữ chuyển đổi","","2025-12-17","passed","2025-12-17","","Language Switch","",""
"","2411","TC-21 Kiểm tra điều hướng link ""Undergraduate Programs""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","2739","TC-41 Chuyển đổi ngôn ngữ trang web từ tiếng Anh sang tiếng Việt","","2025-12-17","failed","2025-12-17","","Language Switch","",""
"","8464","TC-31 Kiểm tra hiển thị phân trang","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","6006","TC-42 Kiểm tra nút “More...” hoạt động đúng","","2025-12-17","failed","2025-12-17","","More Button","",""
"","13386","TC-01 - Tìm kiếm với từ khóa hợp lệ","","2025-12-17","failed","2025-12-17","","Search Tests","",""
"","7135","TC-30 Kiểm tra điều hướng YouTube","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","3735","TC-36 Nhấn nút “>>” để chuyển từ trang 2 sang trang 3","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","10674","TC-08 Kiểm tra điều hướng mục ""Contact""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","7329","TC-07 - Không hiển thị chi tiết bài viết","","2025-12-17","failed","2025-12-17","","Article Tests","",""
"","3199","TC-14 Kiểm tra điều hướng mục ""ACADEMICS""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","3607","TC-32 Kiểm tra khi nhấp vào trang 1","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","2516","TC-43 Kiểm tra nút “More...” không hoạt động hoặc điều hướng sai","","2025-12-17","failed","2025-12-17","","More Button","",""
"","2393","TC-17 Kiểm tra điều hướng mục ""RESEARCH""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","9594","TC-05 - Tìm kiếm với từ khóa có dấu và không dấu","","2025-12-17","failed","2025-12-17","","Search Tests","",""
"","10024","TC-06 - Hiển thị chi tiết bài viết thành công","","2025-12-17","passed","2025-12-17","","Article Tests","",""
"","2226","TC-15 Kiểm tra điều hướng mục ""STUDENTS""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","3163","TC-11 Kiểm tra điều hướng mục ""E-Office""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","2320","TC-24 Kiểm tra điều hướng link ""Admissions""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","2203","TC-23 Kiểm tra điều hướng link ""Part-time Training Programs""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","6713","TC-37 Nhấn nút “>>” khi đang ở trang cuối","","2025-12-17","failed","2025-12-17","","Pagination Tests","",""
"","3916","TC-33 Kiểm tra khi nhấp vào trang 2","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
"","3584","TC-18 Kiểm tra điều hướng mục ""QNU LIFE""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","7415","TC-29 Kiểm tra điều hướng Google+","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","4258","TC-40 Chuyển đổi ngôn ngữ trang web từ tiếng Việt sang tiếng Anh","","2025-12-17","failed","2025-12-17","","Language Switch","",""
"","6130","TC-13 Kiểm tra điều hướng mục ""ABOUT US""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","7872","TC-27 Kiểm tra điều hướng Twitter","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","2300","TC-22 Kiểm tra điều hướng link ""Graduate Programs""","","2025-12-17","failed","2025-12-17","","Navigation Tests","",""
"","2364","TC-12 Kiểm tra điều hướng mục ""Home""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","2736","TC-19 Kiểm tra điều hướng mục ""NEWS REVIEW""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","3164","TC-16 Kiểm tra điều hướng mục ""COOPERATIONS""","","2025-12-17","passed","2025-12-17","","Navigation Tests","",""
"","3530","TC-02 - Tìm kiếm khi để trống ô tìm kiếm","","2025-12-17","failed","2025-12-17","","Search Tests","",""
"","3254","TC-34 Kiểm tra khi nhấp vào trang 3","","2025-12-17","passed","2025-12-17","","Pagination Tests","",""
